step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash
1,2025-12-17T18:43:12.787216,42010.52504187651,41971.26103923897,42049.78904451406,18.69245985305159,0.13869751487654386,0.6602544553701002,0.006481967866420746,0.6873711347579956,bullish,10,1.7570060142263502,10,-0.5,121019.91561780563,-0.08884191247427008,103735.78367785424,0.3,87387.83375287775,0.3,87388.05062931663,0.3,87387.40000000001,0.3,87387.40000000001,0.3,87387.23615054513,0.0,100000.0,0.0,100000.0,0.021035886311957897,99115.60926767267,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107055.82938131377,0.0,100000.0,0.06780602616231217,97148.77090392797,0.0,100000.0
2,2025-12-17T18:43:12.787454,42033.170153527266,42000.9958551745,42065.34445188003,15.309003929633736,0.27590699530805746,0.615038877670958,0.06235608327388764,0.6873711347579956,bullish,9,3.474450470841676,19,-0.7387700771542899,131073.90186349087,-0.8446248566797319,135521.6578251697,0.6,74766.11375405098,0.6,74768.44729375262,0.6,74772.4632866458,0.6,74762.20000000001,0.6,74765.83897492939,0.0,100000.0,0.0,100000.0,-0.09598887507869457,104030.76578579425,0.0,100000.0,0.05579483854494223,97652.57723501997,0.0,100000.0,-0.16816410175208013,107055.82938131377,0.0,100000.0,0.11243088284204401,95271.61093657928,0.0,100000.0
3,2025-12-17T18:43:12.787608,42069.19373296227,42033.487998826815,42104.89946709772,16.97476512723168,0.36325241200462777,0.5912867218307399,0.06173827911019326,0.6873711347579956,bullish,9,4.7172082780338345,28,-1.2666654089021374,153298.70593595784,-1.0,142057.56674819702,0.8999999999999999,62140.913754050984,0.8999999999999999,62147.8186826523,0.8999999999999999,62140.993446516484,0.8999999999999999,62135.134479966815,0.6,74765.83897492939,0.0,100000.0,0.018593184893002233,99217.13581930698,-0.09598887507869457,104030.76578579425,0.0,100000.0,0.05579483854494223,97652.57723501997,0.0,100000.0,-0.16816410175208013,107055.82938131377,0.0,100000.0,0.11243088284204401,95271.61093657928,-0.024164622299156457,101014.93820102872
4,2025-12-17T18:43:12.787746,42108.799737214154,42091.59947442832,42125.99999999999,8.169438641412379,0.4509812982268493,0.5752034785131517,0.06115136515468359,0.6873711347579956,bullish,8,6.0210082305286905,36,-1.3588106163101912,157178.4706302488,-1.5,163117.32574587717,1.2,49503.11375405099,1.2,49511.2395374685,1.2,49503.19344651649,1.2,49500.626108677476,0.6,74765.83897492939,0.0,100000.0,0.018593184893002233,99217.13581930698,-0.06397375376891992,102682.30430766355,0.0,100000.0,0.05579483854494223,97652.57723501997,0.0,100000.0,-0.09637927056699819,104032.28689241981,0.0,100000.0,0.11243088284204401,95271.61093657928,-0.024164622299156457,101014.93820102872
5,2025-12-17T18:43:12.787894,42148.824332349875,42134.60614961028,42163.04251508947,6.746656859268695,0.5111580457259126,0.514095807234273,0.06059379689694941,0.6873711347579956,bullish,8,7.364647293830255,44,-1.626826298095428,168489.08922751044,-2.0,184198.3079527531,1.5,36864.89459797652,1.5,36862.529838212926,1.5,36854.28069198965,1.5,36852.036784551936,0.6,74765.83897492939,-0.031069255954247955,101307.7546775947,0.018593184893002233,99217.13581930698,-0.06397375376891992,102682.30430766355,0.0,100000.0,0.05579483854494223,97652.57723501997,0.0,100000.0,-0.09637927056699819,104032.28689241981,-0.11256980734731789,104738.24324377686,0.11243088284204401,95271.61093657928,-0.024164622299156457,101014.93820102872
6,2025-12-17T18:43:12.788080,42197.86556714735,42185.73113429472,42209.99999999999,5.751206934069562,0.6294833048825274,0.4863274253982184,0.06006410705210194,0.6873711347579956,bullish,11,9.168474514403378,55,-2.2151715530086253,193317.03810443252,-1.5,163114.74592302126,1.8,24214.494597976518,1.8,24200.327556695986,1.8,24196.493389004398,1.5,36852.036784551936,0.6,74765.83897492939,0.020434427116950427,99133.78421515941,0.018593184893002233,99217.13581930698,-0.06397375376891992,102682.30430766355,0.0,100000.0,0.23809224243863553,89965.46030763071,0.0,100000.0,-0.09637927056699819,104032.28689241981,-0.04466136829729238,101871.82803147528,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
7,2025-12-17T18:43:12.788236,42239.158461792686,42221.06250977655,42257.25441380883,8.568329803495677,0.7480910397817048,0.4396696606688612,0.05956090169949684,0.6873711347579956,bullish,9,11.053827633431542,64,-2.21049762328323,193140.59390237235,-1.8944909855865164,179771.06885771206,2.1,11537.318273833871,2.1,11526.836085506304,2.1,11533.4933890044,1.5,36852.036784551936,0.6,74765.83897492939,0.020434427116950427,99133.78421515941,-0.08691582952048144,103671.83851220358,0.1185967645647443,94973.80252489574,0.0,100000.0,0.4353658287196497,81638.5422307091,0.0,100000.0,-0.09637927056699819,104032.28689241981,-0.04466136829729238,101871.82803147528,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
8,2025-12-17T18:43:12.788416,42315.69442943265,42300.54664724475,42330.842211620555,7.159415622098633,0.7808358636123733,0.4536125532171156,0.059082856614522,0.6873711347579956,bullish,10,12.244171174757733,74,-2.317361448812316,197663.8856947786,-2.811011269789415,218543.21023117087,2.4,-1147.566295070983,2.4000000000000004,-1161.5492969884326,2.4,-1161.7430509207452,1.5,36852.036784551936,0.6,74765.83897492939,0.020434427116950427,99133.78421515941,0.0353538296852845,98498.54335453603,0.1185967645647443,94973.80252489574,0.05303419728760821,97756.09453889905,0.4353658287196497,81638.5422307091,-0.0834797157971021,103524.60229896783,-0.09637927056699819,104032.28689241981,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
9,2025-12-17T18:43:12.788553,42417.575833514114,42381.70905476116,42453.44261226707,16.911281726108164,0.9080753406517128,0.45144540134503697,0.0586287137837959,0.6873711347579956,bullish,8,14.08504926664887,82,-3.3604294365071423,241880.50917555837,-2.811011269789415,218542.5154076747,2.6999999999999997,-13846.818958557149,2.7,-13897.582080668553,2.6999999999999997,-13868.65765578319,1.5,36852.036784551936,0.6,74765.83897492939,0.163502414811777,93060.05560990456,0.0353538296852845,98498.54335453603,0.1185967645647443,94973.80252489574,0.05303419728760821,97756.09453889905,0.4353658287196497,81638.5422307091,-0.0834797157971021,103524.60229896783,-0.09637927056699819,104032.28689241981,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
10,2025-12-17T18:43:12.788675,42556.898196177564,42527.67789876817,42586.11849358696,13.732343590783927,0.8932825035197182,0.41291232197549027,0.058197278094606106,0.6873711347579956,bullish,5,15.083441366515656,87,-3.575901361250704,251082.01748037903,-3.311011269789415,239784.64220928354,2.956932012305173,-24762.38372811518,3.0,-26677.450742187895,3.0,-26612.179605032557,1.5,36852.036784551936,0.6,74765.83897492939,0.02204232725016525,99055.37588380183,0.0353538296852845,98498.54335453603,0.1185967645647443,94973.80252489574,0.05303419728760821,97756.09453889905,0.4353658287196497,81638.5422307091,-0.0834797157971021,103524.60229896783,-0.09637927056699819,104032.28689241981,-0.013101399261580451,100537.49957673563,0.21454857740025082,90961.62250551184,-0.024164622299156457,101014.93820102872
