step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash
1,2025-12-17T18:39:38.510793,42010.58732543371,41972.02807434744,42049.14657651998,18.356920738846974,0.13120919647299617,0.6753175930613042,0.0023669873766789173,0.6660692600149761,bullish,9,1.689199988064038,9,-0.5,121019.65863060798,0.14712821544012222,93827.52863550071,0.3,87387.24966542881,0.3,87387.40000000001,0.3,87387.9365477568,0.3,87388.20482163521,0.3,87387.40000000001,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.021035886311957897,99115.60926767267,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107057.01243139782,0.0,100000.0
2,2025-12-17T18:39:38.511035,42026.64668745326,42013.31007932252,42039.983295584,6.346739120028179,0.26719101104963944,0.6057395997406374,0.06267497882158557,0.19788632774987322,bullish,13,3.7373999689807937,22,-0.40637102618947574,117085.99552149767,-0.09596622846316821,104065.38576464647,0.6,74772.50569247281,0.6,74762.20000000001,0.6,74762.73654775681,0.6,74752.9358582426,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.0,100000.0,0.0,100000.0,0.12255876808378806,94842.23680396186,-0.021363697188627493,100895.60963839841,-0.1934700862841663,108122.17472148997,0.0,100000.0,0.0,100000.0,-0.2617930755626044,110990.67554050813,0.016533819011891496,99304.76702089932
3,2025-12-17T18:39:38.511167,42045.554734719786,42025.097740745405,42066.01172869416,9.730871243558667,0.35862596957446924,0.5733364710735892,0.06594117743929657,0.19721652361306188,bullish,7,4.955993153873797,29,-0.9063710261894757,138116.02259620308,-0.8145594133561704,134280.7208919601,0.8999999999999999,62153.18716141976,0.9,62148.19792594212,0.8999999999999999,62150.74155908161,0.8999999999999999,62134.91961341934,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.0,100000.0,0.0,100000.0,0.12255876808378806,94842.23680396186,-0.021363697188627493,100895.60963839841,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,0.0,100000.0,-0.2617930755626044,110990.67554050813,0.016533819011891496,99304.76702089932
4,2025-12-17T18:39:38.511312,42088.48483172442,42064.968963657746,42112.00069979109,11.17449020115194,0.4648587501484034,0.5733334288774257,0.06896123063561291,0.19653041745263755,bullish,8,6.391594406230251,37,-1.7968173075236862,175594.491979463,-1.0959662284631682,146118.38327678555,1.2,49517.34510100763,1.2000000000000002,49527.41537475001,1.2,49529.144372791925,1.2,49501.31940348201,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.12255876808378806,94842.23680396186,0.12379127383361602,94789.51892489845,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,0.0,100000.0,-0.2617930755626044,110990.67554050813,0.016533819011891496,99304.76702089932
5,2025-12-17T18:39:38.511449,42156.4144321427,42144.82886428541,42168.0,5.4964673885840165,0.5486911916529633,0.5051928467401099,0.06675521269909376,0.19849753674128676,bullish,8,7.828732001301603,45,-1.7003026870723708,171527.1834029343,-1.5648969725089201,165867.65339026615,1.4999999999999998,36879.648045166396,1.5000000000000002,36893.201165444174,1.5,36878.74437279192,1.5,36866.75199266651,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.12255876808378806,94842.23680396186,0.12379127383361602,94789.51892489845,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.2617930755626044,110990.67554050813,0.016533819011891496,99304.76702089932
6,2025-12-17T18:39:38.511588,42177.4144321427,42144.82886428541,42209.99999999999,15.451666867686747,0.729599137383654,0.539043168899045,0.06393959069179572,0.20536523335222212,bullish,10,10.080235684372802,55,-1.7003026870723708,171538.92784816684,-1.56489697250892,165857.47145914333,1.7999999999999998,24229.248045166394,1.8000000000000003,24230.201165444174,1.8,24227.940753622664,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.12255876808378806,94842.23680396186,0.12379127383361602,94789.51892489845,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.2617930755626044,110990.67554050813,0.06803750208308988,97132.95971315303
7,2025-12-17T18:39:38.511735,42243.43402256264,42229.20923431535,42257.65881080993,6.7346741932455325,0.7809730617160229,0.4856302771883465,0.06826318146150318,0.2140810200417003,bullish,8,11.26630119836433,63,-2.2003026870723708,192667.0839699466,-1.8024661695716453,175896.58953257804,2.0999999999999996,11559.23156969585,2.1,11553.12509781904,2.1,11564.940753622666,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.22590896839182284,90474.26422971125,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.14575369517930958,106087.27925048246,0.06803750208308988,97132.95971315303
8,2025-12-17T18:39:38.511862,42324.30383150971,42294.129163733094,42354.47849928632,14.258789889013455,0.8775506164194865,0.44763863016899874,0.06786952086776496,0.2178695839123795,bullish,8,12.828732001301605,71,-2.2003026870723708,192666.63936017783,-2.832992925064904,219483.06653565788,2.4,-1118.8017765988234,2.4,-1130.0473293630275,2.4,-1141.4027961632291,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,-0.1934700862841663,108122.17472148997,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.14575369517930958,106087.27925048246,0.06803750208308988,97132.95971315303
9,2025-12-17T18:39:38.511991,42448.99790849651,42418.8657552906,42479.13006170242,14.196873749934653,0.9326344156507307,0.4526594169538656,0.059544450758979475,0.22303554790603394,bullish,7,14.128732001301604,78,-2.942507120362638,224150.14538221384,-3.1329929250649045,232201.87524168537,2.7,-13827.52511996508,2.6999999999999997,-13863.65758910176,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,-0.051265652993898736,102099.18010919413,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.14575369517930958,106087.27925048246,0.06803750208308988,97132.95971315303
10,2025-12-17T18:39:38.512098,42579.07212326027,42556.66916209509,42601.47508442545,10.522991717775751,0.8904152483251667,0.43073879663953735,0.060223692851158674,0.21203291522194187,bullish,2,14.828732001301605,80,-2.942507120362638,224150.14538221384,-3.4329929250649043,244986.81134877045,2.7,-13827.52511996508,2.9999999999999996,-26648.593696186836,2.7,-13878.389308825957,1.8,24204.629943037024,0.6,74765.08661436201,0.07960875022580143,96652.5199929817,0.09044628133421022,96191.12613716023,0.0,100000.0,0.19046720713381357,91972.67659949126,0.35643572388508193,84955.78115966279,-0.051265652993898736,102099.18010919413,0.018593184893002233,99217.96963659032,-0.031069255954247955,101308.34223787856,-0.14575369517930958,106087.27925048246,0.06803750208308988,97132.95971315303
