step,timestamp,mid_price,best_bid,best_ask,spread_bps,imbalance,sentiment,epistemic_uncertainty,aleatoric_uncertainty,regime,fills_this_step,total_volume,trade_count,mm_0_position,mm_0_cash,mm_1_position,mm_1_cash,informed_0_position,informed_0_cash,informed_1_position,informed_1_cash,informed_2_position,informed_2_cash,informed_3_position,informed_3_cash,informed_4_position,informed_4_cash,noise_0_position,noise_0_cash,noise_1_position,noise_1_cash,noise_2_position,noise_2_cash,noise_3_position,noise_3_cash,noise_4_position,noise_4_cash,noise_5_position,noise_5_cash,noise_6_position,noise_6_cash,noise_7_position,noise_7_cash,noise_8_position,noise_8_cash,noise_9_position,noise_9_cash,source
1,2025-12-17T20:12:00.725718,42002.469640186355,41970.123524442235,42034.815755930475,15.402006606379267,0.01928497131052799,0.2940047840897161,0.007492333650588989,0.6094170212745667,bullish,4,0.5570060142263502,4,-0.36780602616231217,115460.65854365373,0.16816410175208013,92943.38791475724,0.3,87389.55527322086,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.021035886311957897,99115.60926767267,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107056.61208524276,0.0,100000.0,0.06780602616231217,97149.78618312541,0.0,100000.0,single
2,2025-12-17T20:12:00.725907,42013.364359931074,41987.93348665763,42038.79523320451,12.106087508522796,0.025134147585534453,0.28130521500606775,0.007492333650588989,0.6094170212745667,bullish,6,1.1667199471844638,10,-0.24608090558682885,110358.91981022124,0.16816410175208013,92943.38791475724,0.6,74777.5041432555,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.054226554681757806,102275.8951982983,-0.08266777834076092,103471.04917846163,0.021035886311957897,99115.60926767267,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107056.61208524276,-0.11702476139065246,104911.54369098406,0.06780602616231217,97149.78618312541,0.05579483854494223,97654.67424163147,single
3,2025-12-17T20:12:00.726009,42016.22687334035,41993.658513476184,42038.79523320451,10.742687548882428,0.036508283275785404,0.2751356716100285,0.007492333650588989,0.6094170212745667,bullish,2,1.5621732325247193,12,-0.1506276202465734,106350.48714165315,-0.13183589824791986,105555.0264847186,0.8999999999999999,62165.86557329415,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.054226554681757806,102275.8951982983,-0.08266777834076092,103471.04917846163,-0.07441739902829758,103124.04193624076,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.16816410175208013,107056.61208524276,-0.11702476139065246,104911.54369098406,0.06780602616231217,97149.78618312541,0.05579483854494223,97654.67424163147,single
4,2025-12-17T20:12:00.726150,42017.829256738085,41993.658513476184,42041.99999999999,11.504993803566402,0.08734020159814238,0.31455533368659555,0.007492333650588989,0.6094170212745667,bullish,5,2.3977744848811726,17,-0.1506276202465734,106350.48714165315,-0.33183589824791987,113962.7855313595,1.2,49553.26557329415,0.3,87387.40000000001,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.054226554681757806,102275.8951982983,-0.08266777834076092,103471.04917846163,-0.07441739902829758,103124.04193624076,0.0,100000.0,0.0,100000.0,0.09044628133421022,96197.74729938633,-0.16816410175208013,107056.61208524276,-0.11702476139065246,104911.54369098406,0.2129609971845557,91047.53198552816,0.05579483854494223,97654.67424163147,single
5,2025-12-17T20:12:00.726278,42018.75466349763,41993.98963208217,42043.519694913084,11.787608468544148,0.09252443373354756,0.25390743523854176,0.007492333650588989,0.6094170212745667,bullish,4,2.9241084753034645,21,-0.1506276202465734,106350.48714165315,-0.4293095735714573,118068.57674912771,1.5,36940.39166651727,0.3,87387.40000000001,0.0,100000.0,0.0,100000.0,0.0,100000.0,0.017558276503324137,99257.8082345723,-0.08266777834076092,103471.04917846163,-0.07441739902829758,103124.04193624076,0.0,100000.0,0.0,100000.0,-0.0641028779030003,102687.88309004076,-0.16816410175208013,107056.61208524276,-0.11702476139065246,104911.54369098406,0.2129609971845557,91047.53198552816,0.05579483854494223,97654.67424163147,single
6,2025-12-17T20:12:00.726412,42024.59634660385,41999.55811884175,42049.63457436595,11.915987273544719,0.1171129494258555,0.30606344054518786,0.007492333650588989,0.6094170212745667,bullish,5,3.6344681562862267,26,-0.1506276202465734,106350.48714165315,-1.000213981745216,142076.87385213844,1.8,24325.50129420749,0.6,74773.77751810943,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,-0.08266777834076092,103471.04917846163,-0.07441739902829758,103124.04193624076,0.0,100000.0,0.0,100000.0,-0.0641028779030003,102687.88309004076,-0.16816410175208013,107056.61208524276,-0.07639271681239163,103203.22952451337,0.2129609971845557,91047.53198552816,0.05579483854494223,97654.67424163147,single
7,2025-12-17T20:12:00.726568,42043.50196758077,42029.44635910321,42057.55757605833,6.686221565652633,0.16088192501661727,0.31150774370048695,0.007492333650588989,0.6094170212745667,bullish,7,4.604079570466863,33,-1.0128939135662176,142612.8373918648,-1.1075591026062073,146590.69695768427,2.1,11710.033930601861,0.8999999999999999,62157.13554905761,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,-0.08266777834076092,103471.04917846163,0.01673308081069111,99290.92457680912,0.0,100000.0,0.0,100000.0,0.02520521269526771,98932.24304278467,-0.16816410175208013,107056.61208524276,0.11276012693098703,95247.92290810106,0.2129609971845557,91047.53198552816,0.05579483854494223,97654.67424163147,single
8,2025-12-17T20:12:00.726724,42057.38901027854,42056.12614346998,42058.651877087104,0.6005445598417544,0.17926668639006496,0.2875815669085881,0.007492333650588989,0.6094170212745667,bullish,6,5.389432689495024,39,-1.6927380181808962,171205.87292284842,-1.0020500881927237,142156.2114959909,2.4,-907.4892823400737,0.8999999999999999,62157.13554905761,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,-0.08266777834076092,103471.04917846163,0.01673308081069111,99290.92457680912,-0.10550901441348368,104434.48546169336,0.18257051833366422,92321.4934273602,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,0.2129609971845557,91047.53198552816,0.05579483854494223,97654.67424163147,single
9,2025-12-17T20:12:00.726918,42064.09867604408,42062.28768459468,42065.90966749348,0.8610627620219835,0.21381538078409318,0.30843150978462164,0.007492333650588989,0.6094170212745667,bullish,7,6.932860975567331,46,-2.150627620246574,190461.34129206248,-1.2008262354106845,150519.29625272242,2.7,-13525.278771009336,1.2,49539.53998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.10550901441348368,104434.48546169336,0.18257051833366422,92321.4934273602,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,0.12742231317792646,94645.48472037664,0.05579483854494223,97654.67424163147,single
10,2025-12-17T20:12:00.727053,42071.37360117563,42062.28768459468,42080.45951775657,4.319286870486826,0.22497685897743572,0.2762813405434218,0.007492333650588989,0.6094170212745667,bullish,6,8.413940406428363,52,-2.150627620246574,190455.18042063183,-1.3197468045496517,155528.61490976167,3.0,-26145.05167125738,1.2,49539.53998593148,0.0,100000.0,0.0,100000.0,0.0,100000.0,-0.05216935990117793,102186.33815223264,0.059536654949506634,97489.92836946291,0.01673308081069111,99290.92457680912,-0.10550901441348368,104434.48546169336,0.18257051833366422,92321.4934273602,0.02520521269526771,98932.24304278467,0.029109484528934026,98759.60633984083,0.11276012693098703,95247.92290810106,-0.053657117683106326,102262.09983501607,0.05579483854494223,97654.67424163147,single
